identifier,municipality,location,feature,owner,year_built_replaced,last_inspection,sd_fo_status,rating
ans,Gaines (Town),1.5 MI SOUTH OF KENT,COUNTY ROAD 11 MARSH CREEK,30 - County,1940,08/30/2016,N,4.35
ans,Gaines (Town),2.2 MI WEST OF BROCKVILLE,DENSMORE ROAD W BR SANDY CREEK,30 - County,1999,05/17/2017,N,7.00
ans,Gaines (Town),3 MI W JCT BRG CNL & SH98,EAGLE HARBOR ROAD ERIE CANAL,NYSDOT,1910,11/10/2016,FO,6.31
ans,Gaines (Town),0.8 MI N EAGLE HARBOR,EGL HBR WATERPORT OTTER CREEK,30 - County,2010,12/05/2016,N,7.00
ans,Gaines (Town),1.3 MI S WATERPORT,EGL HBR-WATERPORT OTTER CREEK,30 - County,1999,08/17/2017,N,7.00
ans,Gaines (Town),1.6MI W JCT BARGE C+RTE98,GAINES BASIN ROAD ERIE CANAL,NYSDOT,1912,11/30/2016,FO,6.34
ans,Gaines (Town),2.3 MI NE ALBION,KEITEL ROAD W BR SANDY CREEK,30 - County,1997,05/17/2017,N,7.00
ans,Gaines (Town),2.0 MI S KENT,KENT RD.CR 11 MARSH CREEK,30 - County,1940,08/30/2016,N,5.00
ans,Holley (Village),.6 MI E JCT BG CL & SH237,EAST AVE GULF RD ERIE CANAL,NYSDOT,1911,11/16/2016,FO,6.03
ans,Kendall (Town),JCT RTE 237 & SANDY CREEK,237 237 45021122 SANDY CREEK,NYSDOT,1991,06/30/2017,N,6.51
ans,Kendall (Town),2.2 MI N OF KENDALL,237 237 45021155 BALD EAGLE CREEK,30 - County,1930,05/09/2016,N,4.17
ans,Kendall (Town),0.3MI S JCT RTS 18 & 272,272 272 45011030 SANDY CREEK,NYSDOT,1992,09/14/2016,N,6.65
ans,Kendall (Town),3MI W JCT EB LOSP+RTE 237,947A947A45011073 PETER SMITH ROAD,NYSDOT,1973,04/21/2017,N,5.87
ans,Kendall (Town),3MI W JCT WB LOSP+RTE 237,947A947A45011073 PETER SMITH ROAD,NYSDOT,1973,04/21/2017,N,5.94
ans,Kendall (Town),2MI W JCT WB LOSP+RTE 237,947A947A45011083 WEST KENDALL ROAD,NYSDOT,1973,07/18/2017,N,6.51
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ans,Kendall (Town),2MI W JCT EB LOSP+RTE 237,947A947A45011083 WEST KENDALL ROAD,NYSDOT,1973,08/17/2015,N,6.25
ans,Kendall (Town),0.4MI E JCT  TS LOSP+237,947A947A45011107 BALD EAGLE CREEK,NYSDOT,1971,05/11/2017,N,5.77
ans,Kendall (Town),1 MI E JCT LOSP+RTE 237,947A947A45011114 BALD EAGLE CREEK,NYSDOT,1971,05/11/2017,N,5.66
ans,Kendall (Town),INT WB LOSP+RTE 272,947A947A45011125 272 272 45011074,NYSDOT,1971,05/09/2017,FO,5.78
ans,Kendall (Town),INT EB LOSP+RTE 272,947A947A45011125 272 272 45011074,NYSDOT,1971,05/09/2017,FO,5.86
ans,Kendall (Town),1.6 MI NE MURRAY,CARTON ROAD SANDY CREEK,30 - County,2016,11/25/2016,SD,7.00
ans,Kendall (Town),JCT RTS LOSP + 237,KENDALL ROAD 947A947A45011104,NYSDOT,1971,05/05/2017,N,6.09
ans,Kendall (Town),2.1 MI NE OF KENDALL,LAKESHORE RD CR75 BALD EAGLE CREEK,30 - County,1989,05/09/2016,N,5.00
ans,Kendall (Town),2.0 MI NE MURRAY,NORWAY ROAD SANDY CREEK,30 - County,1956,08/10/2016,N,5.80
ans,Kendall (Town),2.0 MI NE MURRAY,NORWAY ROAD TRIB SANDY CREEK,30 - County,1956,08/10/2016,N,5.74
ans,Kendall (Town),1 MI W JCT LOSP+RTE 272,NORWAY ROAD 947A947A45011114,NYSDOT,1971,05/17/2017,N,6.00
ans,Kendall (Town),1.3 MI. NORTH OF KENDALL,WOODCHUCK ALLEY BALD EAGLE CREEK,30 - County,2002,09/14/2016,N,6.31
ans,Lyndonville (Village),1.8MI S JCT RTS 63 + 18,63  63 45051140 JOHNSON CREEK,NYSDOT,1920,09/29/2016,N,3.77
ans,Medina (Village),0.2MI E JCT RTS 31 + 63,31  31 45021049 OAK ORCHARD RIVER,NYSDOT,1970,11/03/2015,N,6.28
ans,Medina (Village),JCT RTE 63&BARGE CANAL,63  63 45051070 ERIE CANAL,NYSDOT,1914,10/11/2016,FO,6.37
ans,Medina (Village),1.1 MI E JCT BGE CNL&RT63,BATES ROAD ERIE CANAL,NYSDOT,1914,10/31/2016,SD,4.45
ans,Medina (Village),AT MEDINA,E OAK ORCHARD ST OAK ORCHARD CREEK,30 - County,1920,11/30/2016,N,3.83
ans,Medina (Village),0.2MI E JCT BARGE C+RTE63,GLENWOOD AVENUE ERIE CANAL,41 - Village,1914,11/04/2016,FO,4.83
ans,Medina (Village),0.5MI E JCT BARGE C+RTE63,HORAN ROAD ERIE CANAL,NYSDOT,1914,07/25/2017,FO,4.98
ans,Murray (Town),WEST SIDE OF HOLLEY,31  31 45021239 FALLS ROAD RR,NYSDOT,1976,08/18/2017,N,5.50
ans,Murray (Town),JCT RTE 104 + SANDY CK,104 104 45021216 SANDY CREEK,NYSDOT,1960,06/24/2016,N,5.65
ans,Murray (Town),JCT SH 237 & BARGE CANAL,237 237 45021082 ERIE CANAL,NYSDOT,1984,12/02/2016,N,5.62
ans,Murray (Town),.1 MI S JCT SH104 & SH237,237 237 45021103 E BRN SANDY CREEK,NYSDOT,1954,09/23/2016,N,5.93
ans,Murray (Town),JCT RTE 387 +BARGE CANAL,387 387 45011006 ERIE CANAL,NYSDOT,1985,12/01/2016,N,6.02
ans,Murray (Town),1.1MI E JCT BARGE C+237,BENNETTS CORS RD ERIE CANAL,NYSDOT,1911,10/10/2016,SD,4.68
ans,Murray (Town),.1 MILE SOUTH OF MURRAY,GROTH ROAD E BRN SANDY CREEK,30 - County,1934,06/02/2016,N,4.57
ans,Murray (Town),1.3 MI W JCT CANAL &SH237,GROTH ROAD ERIE CANAL,NYSDOT,1911,07/27/2017,FO,5.47
ans,Murray (Town),0.9 MI NW BROCKVILLE,HINDSBURG ROAD W BR SANDY CREEK,30 - County,1900,06/02/2016,N,4.52
ans,Murray (Town),0.7MI W JCT BARGE C+387,HINDSBURG ROAD ERIE CANAL,NYSDOT,1911,08/01/2017,SD,3.42
ans,Murray (Town),1.3 MI E JCT BG CL &SH387,HULBERTON ROAD ERIE CANAL,NYSDOT,1913,11/17/2016,FO,5.45
ans,Murray (Town),0.6 MI WEST OF MURRAY,HULBERTON ROAD W BR SANDY CREEK,30 - County,2014,12/05/2016,N,7.00
ans,Murray (Town),2.3 MI NE OF HOLLEY,HURD RD CR 42 E BR SANDY CREEK,30 - County,1989,09/28/2016,N,6.42
ans,Murray (Town),2.9 MILES NW OF ALABAMA,MON-ORL CO LNE RD E BR SANDY CREEK,30 - County,1928,06/06/2017,SD,4.30
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ans,Murray (Town),3.3 MILES NE OF HOLLEY,ORL MNROE C LN RD SANDY CREEK,30 - County,2007,04/19/2017,N,7.00
ans,Murray (Town),.5 MI W JCT SH237/TELG RD,TELEGRAPH ROAD ERIE CANAL,NYSDOT,1911,09/01/2017,SD,5.09
ans,Murray (Town),1.3 MI NE OF BROCKVILLE,TRANSIT ROAD W BR SANDY CREEK,30 - County,1935,08/17/2017,N,4.18
ans,Murray (Town),1.2 MI W JCT BG CNL&SH387,TRANSIT ROAD ERIE CANAL,NYSDOT,1911,12/07/2016,FO,6.10
ans,Ridgeway (Town),3.4MI E JCT RTS 31 + 63,31  31 45021081 FISH CREEK,NYSDOT,1933,08/24/2015,N,4.83
ans,Ridgeway (Town),3.6MI E JCT RTS 31 + 63,31  31 45021083 STILL BROOK,NYSDOT,1933,08/24/2015,N,4.94
ans,Ridgeway (Town),4.2 MI E JCT SH 31 & SH63,31  31 45021088 FALLS ROAD RR,NYSDOT,1984,10/28/2016,N,5.18
ans,Ridgeway (Town),0.3MI E JCT RTS 104 + 269,104 104 45021003 JEDDO CREEK,NYSDOT,1914,10/13/2015,N,6.47
ans,Ridgeway (Town),JCT RTS104+OAK ORCHARD CK,104 104 45021071 OAK ORCHARD CREEK,NYSDOT,1954,09/11/2016,SD,4.00
ans,Ridgeway (Town),1.1 MI E OF RIDGEWAY,BATES ROAD OAK ORCHARD CREEK,30 - County,1938,09/20/2017,N,5.51
ans,Ridgeway (Town),2 MI E JCT BG CNL & SH 63,BEALS ROAD ERIE CANAL,NYSDOT,1909,11/07/2016,FO,6.03
ans,Ridgeway (Town),0.6 MI SOUTH OF JEDDO,COUNTY LINE ROAD JEDDO CREEK,30 - County,1960,11/23/2016,N,5.00
ans,Ridgeway (Town),2.6 MI S OF OAK ORCHARD,CULVERT ROAD FISH CREEK,30 - County,1928,12/07/2016,SD,4.37
ans,Ridgeway (Town),1.8 MI SE RIDGEWAY,EAST SCOTT ROAD FISH CREEK,30 - County,2016,11/25/2016,SD,7.00
ans,Ridgeway (Town),.4 MILE EAST OF RIDGEWAY,HORAN ROAD OAK ORCHARD CREEK,30 - County,1991,06/06/2017,N,6.29
ans,Ridgeway (Town),4.3 MI E JCT BG CNL &SH63,KNOWLESVILLE ROAD ERIE CANAL,NYSDOT,1910,11/08/2016,SD,4.26
ans,Ridgeway (Town),1.9 MI S ASHWOOD,KNOWLESVILLE ROAD OAK ORCHARD CREEK,30 - County,2010,11/14/2016,N,7.00
ans,Ridgeway (Town),1.1 MI EAST OAK ORCHARD,KNOWLESVILLE ROAD TRIB OAK ORCHARD,30 - County,1988,04/27/2016,N,6.00
ans,Ridgeway (Town),1.5 MI W JCT B CNL & SH63,MARSHALL ROAD ERIE CANAL,NYSDOT,1909,11/08/2016,SD,5.06
ans,Ridgeway (Town),2.6 MI NNE OF JEDDO,MILL ROAD JEDDO CREEK,30 - County,1940,11/15/2016,N,4.85
ans,Ridgeway (Town),2.6 MI SW OF LYNDONVILLE,MURDOCK ROAD JOHNSON CREEK,30 - County,1990,06/27/2017,N,6.43
ans,Ridgeway (Town),2.2 MI SW OAK ORCHARD,PORTAGE ROAD FISH CREEK,30 - County,1960,12/07/2016,SD,4.91
ans,Ridgeway (Town),1.2 MI. SO. OF RIDGEWAY,SLADE ROAD OAK ORCHARD RIVER,30 - County,1991,10/17/2016,N,6.64
ans,Shelby (Town),2.1MI W JCT RTS 31A + 63,31  31 45021016 JEDDO CREEK,NYSDOT,1946,08/19/2015,SD,4.45
ans,Shelby (Town),0.1MI E JCT RTS 31A + 63,31A 31A45011001 OAK ORCHARD CREEK,NYSDOT,1946,10/28/2016,N,6.40
ans,Shelby (Town),5.0MI S JCT RTS 63 + 31A,63  63 45051004 OAK ORCHARD CREEK,NYSDOT,1992,10/18/2016,N,6.32
ans,Shelby (Town),3.0 MI S JCT RTS 63 + 31A,63  63 45051025 OAK ORCHARD CREEK,NYSDOT,1992,06/10/2016,N,6.00
ans,Shelby (Town),1.1 MI S OF SHELBY,HARRISON ROAD OAK ORCHARD CREEK,30 - County,2002,12/12/2016,N,6.49
ans,Shelby (Town),0.3 MILES EAST OF SHELBY,SANDERSON ROAD OAK ORCHARD CREEK,30 - County,1990,06/06/2017,FO,6.05
ans,Yates (Town),3.0MI E JCT RTS 18 + 269,18  18 45021030 MARSH CREEK WEST,NYSDOT,1929,11/05/2015,N,4.29
ans,Yates (Town),1.5 MI SW OF LYNDONVILLE,ANGLING ROAD JOHNSON CREEK,30 - County,1956,11/21/2016,N,4.60
ans,Yates (Town),1.5 MI E OF YATES CENTER,BLOOD ROAD JOHNSON CREEK,30 - County,1991,06/27/2017,N,6.53
ans,Yates (Town),1.3 MI E SHADIGEE,LAKE SHORE ROAD MARSH CREEK,30 - County,1930,08/31/2016,N,4.39
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
atoga,Ballston Spa (Village),MILTON AVE IN BALLSTON SP,50  50 15021078 GORDON CREEK,NYSDOT,1930,06/28/2016,N,5.33
atoga,Ballston Spa (Village),RTE 50 & KAYADEROSSERAS C,50  50 15021080 KAYADEROSSERAS CK,NYSDOT,1938,05/10/2017,N,5.96
atoga,Ballston Spa (Village),JCT RTE 67 & GORDON CR,67  67 15031127 GORDON CR. TRIB.,NYSDOT,1958,08/24/2016,N,5.00
atoga,Ballston Spa (Village),VILLAGE OF BALLSTON SPA,BATH STREET GORDON CREEK,30 - County,1993,06/29/2016,N,6.37
atoga,Ballston Spa (Village),VILLAGE OF BALLSTON SPA,FAIRGROUND AVE GORDON CREEK,40 - Town,1991,06/29/2016,N,6.17
atoga,Ballston Spa (Village),VILLAGE OF BALLSTON SPA,FENWICK STREET GORDON CREEK,30 - County,1958,06/13/2017,N,6.24
atoga,Ballston Spa (Village),VILLAGE OF BALLSTON SPA,MECHANIC STREET KAYADEROSSERAS CK,30 - County,1994,06/30/2016,N,6.16
atoga,Ballston Spa (Village),VILLAGE OF BALLSTON SPA,RALPH STREET KAYADEROSSERAS CK,30 - County,2006,06/01/2016,N,6.17
atoga,Ballston (Town),1.2MI SW JCT 50 & 67,50  50 15021053 MOURNING KILL,NYSDOT,1995,04/13/2017,N,5.56
atoga,Ballston (Town),RTE 67 & MORNING KILL,67  67 15031087 MOURNING KILL,NYSDOT,1959,06/01/2016,N,4.63
atoga,Ballston (Town),0.9 MI SE JCT RTS 50 & 67,67  67 15031150 RR BRIDGE 7029170,NYSDOT,1993,04/22/2016,SD,4.83
atoga,Ballston (Town),1.3 MI SE JCT RTS 50 & 67,67  67 15031154 ZIM SMITH TRAIL,NYSDOT,2008,04/22/2016,N,6.00
atoga,Ballston (Town),1.5 MI SW JCT SH50 & SH67,DEVILS LANE MOURNING KILL,30 - County,1950,04/27/2017,N,6.35
atoga,Ballston (Town),3MI W BALSTON SPA,FINLEY ROAD MOURNING KILL,40 - Town,1925,04/27/2017,SD,4.08
atoga,Ballston (Town),4 MI SW BALLSTON SPA,HOP CITY ROAD MOURNING KILL,30 - County,1991,06/01/2016,N,5.67
atoga,Ballston (Town),BALLSTON SPA,LASHER RD MOURNING KILL,30 - County,1949,06/30/2016,N,4.84
atoga,Ballston (Town),1.5 MI SW JCT NYS 50 & 67,MIDDLE LINE ROAD MOURNING KILL,30 - County,1998,04/06/2016,N,6.49
atoga,Ballston (Town),2.2 MI S BALLSTON SPA,OUTLET ROAD BALLSTON CREEK,30 - County,1990,04/06/2016,N,6.22
atoga,Ballston (Town),.5 MI S JCT NY50<NY67,TIFFAULT RD MOURNING KILL,30 - County,1962,06/16/2016,N,5.59
atoga,Charlton (Town),2.9 MI W JCT RTS 147&67,67  67 15031003 EVANS KILL,NYSDOT,1961,08/24/2016,N,5.00
atoga,Charlton (Town),.4m E Route 147,67 67 15031039 ALPLAUS KILL,NYSDOT,1961,08/25/2016,N,3.00
atoga,Charlton (Town),2.8 MI.SE.JCT.RTS.67&147,CR 51 CHARLTON RD ALPLAUS KILL,30 - County,1984,06/21/2016,N,4.67
atoga,Charlton (Town),1.3 MI SE CHARLTON,"CR 54, STAGE RD. ALPLAUS KILL",30 - County,1966,05/10/2017,N,6.25
atoga,Charlton (Town),1 MI S CHARLTON,CR52 ALPLAUS KILL,30 - County,1934,06/28/2016,FO,5.67
atoga,Charlton (Town),0.5 MILES W OF CHARLTON,CRANE STREET ALPLAUS KILL,30 - County,1966,04/21/2016,N,5.77
atoga,Clifton Park (Town),RT 9 2.7 MI S OF ROUND LK,99 15091064 DWAAS KILL,NYSDOT,1960,08/15/2016,N,4.33
atoga,Clifton Park (Town),IN CLIFTON PARK,87I 87I15091049 146 146 15041070,NYSDOT,1958,07/14/2017,SD,5.39
atoga,Clifton Park (Town),IN CLIFTON PARK,87I 87I15091050 146 146 15041070,NYSDOT,1958,07/14/2017,SD,5.58
atoga,Clifton Park (Town),0.2 MI N JCT I87 & CR 109,87I 87I15091070 DWAAS KILL,NYSDOT,1958,07/22/2015,N,4.29
atoga,Clifton Park (Town),0.2 MI N JCT I87 & CR 109,87I 87I15091070 DWAAS KILL,NYSDOT,1958,07/22/2015,N,4.29
atoga,Clifton Park (Town),0.2 MI S I87 & USHERS RD,87I 87I15091076 DELAWARE & HUDSON,NYSDOT,2000,09/19/2016,N,5.87
atoga,Clifton Park (Town),0.2 MI S I87 & USHERS RD,87I 87I15091076 DELAWARE & HUDSON,NYSDOT,2000,09/19/2016,N,5.77
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
atoga,Clifton Park (Town),JCT SH 146A AND D & H RR,146A146A15011016 DELAWARE & HUDSON,NYSDOT,1993,06/07/2017,N,5.89
atoga,Clifton Park (Town),JCT I87 & USHERS ROAD,822 822 15011000 87I 87I15091079,NYSDOT,1999,04/07/2016,N,6.47
atoga,Clifton Park (Town),1.5 MI S BALLSTON LAKE,ASHDOWN ROAD DELAWARE & HUDSON,30 - County,1974,09/15/2016,FO,4.75
atoga,Clifton Park (Town),0.5 MI E OF ELNORA,CARLTON RD COOLEY KILL,40 - Town,1910,04/06/2016,N,5.66
atoga,Clifton Park (Town),4.5 MI S JCT SH 146 & 146,CR90 VISCHER FERR STONY CREEK,30 - County,1936,09/01/2016,N,5.51
atoga,Clifton Park (Town),JCT I87 & COUNTY ROAD 91,GROOMS ROAD 87I 87I15091034,NYSDOT,1993,05/31/2017,N,6.46
atoga,Clifton Park (Town),JCT-87I&CR109,KINNS RD CR109 87I  87I15091069,NYSDOT,2006,05/24/2016,N,6.45
atoga,Clifton Park (Town),0.1 M N KINNS RD INTRSCTN,PIERCE ROAD DWAAS KILL,40 - Town,1988,04/19/2016,FO,5.04
atoga,Clifton Park (Town),0.7 MI S JCT I87 & RT 146,SITTERLY ROAD 87I 87I15091043,NYSDOT,1958,10/18/2016,SD,4.65
atoga,Clifton Park (Town),0.4 M W RTE 146A INTRSCTN,TANNER ROAD COOLEY KILL TRIB,40 - Town,1988,04/19/2016,FO,5.00
atoga,Corinth (Town),.5MI N CORINTH TOWN LI,9N  9N15012096 KAYADEROSSERAS CK,NYSDOT,1938,09/01/2016,N,3.67
atoga,Corinth (Town),4 MI NW OF CORINTH,DAVIGNON ROAD DALY CREEK,30 - County,1980,08/03/2016,N,5.92
atoga,Corinth (Town),1.5 MI SW OF CORINTH,HEATH ROAD STURDEVANT CREEK,30 - County,1968,04/25/2016,N,5.50
atoga,Corinth (Village),RTE 9N IN TOWN OF CORINTH,9N  9N15012135 STURDEVANT CREEK,NYSDOT,1993,07/12/2017,N,6.71
atoga,Corinth (Village),0.1 Mi. E RTE 9N CORINTH,"CR 16, EAST RIVER DRIVE HUDSON RIVER",30 - County,1997,06/12/2017,N,5.25
atoga,Day (Town),6 MI SW WEST MT,CORINTH-W-MT CR10 DALY CREEK,30 - County,1940,04/25/2016,N,5.95
atoga,Day (Town),3.1 MI W CONKLINGVILLE,HADLEY HILL ROAD PAUL CREEK,30 - County,1939,07/13/2016,N,4.40
atoga,Day (Town),3 MI W CONKLINGVILLE,HUNTING CLUB RD PAUL CREEK,30 - County,1994,07/13/2016,FO,6.86
atoga,Day (Town),3 MI W OF CONKLINGVILLE,NORTH SHORE ROAD PAUL CREEK,30 - County,1992,05/16/2017,FO,5.00
atoga,Day (Town),4.2 MI NE OF EDINBURG,NORTH SHORE ROAD SAND CREEK,30 - County,1995,05/16/2017,SD,5.72
atoga,Day (Town),5.6 MI S WEST MT.,S. SHORE RD CR 7 DALY CREEK,30 - County,2009,06/27/2016,N,4.92
atoga,Day (Town),4 MI N EDINBURG,SAND LAKE ROAD SAND CREEK,30 - County,2001,05/16/2017,N,6.91
atoga,Day (Town),.5 MI N CONKLINGVILLE,WALTR MAXFIELD RD BELL BK,40 - Town,1969,06/13/2016,N,4.67
atoga,Edinburg (Town),0.75MI NW EDINBURG,AIRPORT ROAD BEECHER CREEK,40 - Town,1986,06/21/2016,N,4.22
atoga,Edinburg (Town),BATCHELLERVILLE,COUNTY ROAD 98 SACANDAGA RESER,30 - County,2012,09/27/2016,N,6.43
atoga,Edinburg (Town),AT EDINBURG,CR 4 N SHORE RD BEECHER CREEK,30 - County,1937,06/21/2016,N,5.00
atoga,Edinburg (Town),6 MI SE EDINBURGH,FOX HILL ROAD HANS CREEK,30 - County,2004,06/27/2016,N,7.00
atoga,Edinburg (Town),5.8 MI E EDINBURG,FOX HILL ROAD LITTLE HANS CREEK,40 - Town,1932,06/27/2017,SD,4.79
atoga,Edinburg (Town),IN BATCHELLERVILLE,SOUTH SHORE ROAD BATCHELLER CREEK,30 - County,2004,04/25/2016,N,7.00
atoga,Galway (Town),3 MI S INT CR52 & SH29,COUNTY ROAD 52 GLOWEGEE CREEK,30 - County,2000,06/28/2016,N,7.00
atoga,Galway (Town),2 MI NE GALWAY,OLD MILL ROAD GLOWEGEE CREEK,30 - County,1974,06/20/2016,N,4.39
atoga,Galway (Town),1.0 MI.NE GALWAY,PARKIS MILLS RD GLOWEGEE  CREEK,30 - County,1973,06/20/2016,N,4.81
atoga,Greenfield (Town),RTE 9N 2.3 MI N GRNFLD C,9N9N15012068 KAYADEROSSERAS CK,NYSDOT,2016,09/22/2016,SD,7.00
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
atoga,Greenfield (Town),4.5 MI NW SARATOGA SPRING,ALLEN ROAD S BR KAYADEROSSERAS,30 - County,1960,07/12/2017,N,5.52
atoga,Greenfield (Town),3.5 MI E LAKE DESOLATION,BOCKES ROAD KAYADEROSSERAS CK,30 - County,1931,09/08/2016,SD,5.74
atoga,Greenfield (Town),CITY OF SARATOGA SPRINGS,CLINTON STREET DELAWARE & HUDSON,30 - County,1957,09/22/2016,FO,5.79
atoga,Greenfield (Town),2.0 MI W GREENFIELD CTR,COUNTY ROAD 19 KAYADEROSSERAS CK,30 - County,1937,09/08/2016,N,6.23
atoga,Greenfield (Town),.5 MI NW MIDDLE GROVE,CR12 L DESOLA  RD KAYADEROSSERAS CK,30 - County,2016,12/20/2016,FO,6.51
atoga,Greenfield (Town),.5 MI SW MIDDLE GROVE,CR21MIDDLE GRV RD KAYADEROSSERAS CK,30 - County,1930,08/26/2016,SD,5.51
atoga,Greenfield (Town),3.3 ML N ROCK CITY FALLS,SAND HILL ROAD KAYADEROSSERAS CK,30 - County,1967,09/08/2016,N,6.27
atoga,Greenfield (Town),4 MI NW SARATOGA SPRINGS,SPIER FALLS ROAD KAYADEROSSERAS CK,30 - County,1938,09/08/2016,N,5.51
atoga,Hadley (Town),JCT RT 9N & HUDSON RIVER,9N  9N15012179 HUDSON RIVER,NYSDOT,2012,07/15/2016,N,6.74
atoga,Hadley (Town),3 MI NORTH OF HADLEY,"CR 1, STONY CREEK ROAD WOLF CREEK",30 - County,1997,07/12/2017,N,6.54
atoga,Hadley (Town),3.5 MI SW OF HADLEY,CR 7 STEWART DAM SACANDAGA RESERV,30 - County,1955,10/21/2016,N,5.72
atoga,Hadley (Town),CONKLINGVILLE DAM,"CR 8, CONKLINGVILLE DAM SACANDAGA RESERVOIR",30 - County,1929,06/12/2017,N,6.00
atoga,Hadley (Town),0.25MI SE OF HADLEY,OLD CORINTH RD. SACANDAGA RIVER,30 - County,1885,08/03/2016,SD,6.18
atoga,Halfmoon (Town),0.3 MI SE JCT RTS 4 & 146,44 15021072 DELAWARE & HUDSON,NYSDOT,2009,09/04/2015,N,6.86
atoga,Halfmoon (Town),JCT RTS I87 & CR 92,819 819 15011001 87I 87I15091020,NYSDOT,1997,05/31/2017,N,6.58
atoga,Halfmoon (Town),JCT LOCK #2 & CHAMPLAIN C,ACCESS TO LOCK 2 CHAMPLAIN CANAL,2L - NYS Thruway Authority,1994,06/06/2016,FO,6.54
atoga,Halfmoon (Town),2 MI SE ROUND LAKE,COONS CROSSING RD ANTHONY KILL,30 - County,1927,06/02/2016,FO,4.85
atoga,Halfmoon (Town),I87-0.7 MI N OF MOHAWK RV,RIVER VIEW ROAD 87I 87I15091007,NYSDOT,1958,07/10/2017,FO,4.93
atoga,Halfmoon (Town),.5 MI SE I-87 EXIT 10,ROBERTS LANE DWAAS KILL,30 - County,2003,05/04/2017,FO,7.00
atoga,Halfmoon (Town),3 MI N NY9 & NY146,TABOR ROAD DWAAS KILL,30 - County,1977,06/28/2016,N,3.00
atoga,Halfmoon (Town),2.8 MI N JCT US9&NY146,USHERS ROAD DWAAS KILL,30 - County,1987,04/29/2016,N,5.00
atoga,Malta (Town),SH 9 IN ROUND LAKE,99 15091092 BALLSTON CREEK,NYSDOT,1960,08/15/2016,N,4.49
atoga,Malta (Town),JCT.RTE 9 & 87I,99 15091150 87I 87I15091165,NYSDOT,1962,05/24/2016,FO,4.66
atoga,Malta (Town),.2 MI N OF EXIT 13 OF I87,99 15091157 KAYADEROSSERAS CK,NYSDOT,1928,07/05/2017,N,6.00
atoga,Malta (Town),.2 MILE N EXIT 13 OF I87,99 15091157 KAYADEROSSERAS CREEK,NYSDOT,2016,12/06/2016,FO,7.00
atoga,Malta (Town),JCT RTE 67 & I87,67  67 15031175 87I 87I15091127,NYSDOT,2006,04/07/2016,N,6.43
atoga,Malta (Town),JCT I87 & RND LAKE ROAD,87I 87I15091104 823 823 15011000,NYSDOT,1996,05/17/2016,N,4.54
atoga,Malta (Town),1.3 MI S JCT I87 & SH 67,87I 87I15091114 ZIM SMITH TRAIL,NYSDOT,1996,04/11/2016,N,6.09
atoga,Malta (Town),1.3 MI S JCT I87 & SH 67,87I 87I15091114 ZIM SMITH TRAIL,NYSDOT,1996,04/11/2016,N,6.07
atoga,Malta (Town),1.1 MI S JCT I87 & RT 67,87I 87I15091115 BALLSTON CREEK,NYSDOT,1959,07/05/2017,N,5.00
atoga,Malta (Town),I87 & KAYADEROSSERAS CRK,87I 87I15091180 KAYADEROSSERAS CK,NYSDOT,1998,04/13/2016,N,6.23
atoga,Malta (Town),I87 & KAYADEROSSERAS CRK,87I 87I15091181 KAYADEROSSERAS CK,NYSDOT,1998,04/13/2016,N,6.23
atoga,Malta (Town),0.3 mi. W of Rte.9/Rte.67,915J 915J15011010 BALLSTON CREEK,NYSDOT,2008,06/06/2016,N,6.63
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
atoga,Malta (Town),.7m E Route 9,"CR 77, STONEBREAK ROAD UNKNOWN CREEK",30 - County,2009,07/27/2016,N,7.00
atoga,Malta (Town),.5m N Route 67,"CR 78, LUTHER FOREST BLVD. UNKNOWN CREEK",30 - County,2009,07/27/2016,N,7.00
atoga,Malta (Town),.5m N Route 67,"CR 78, LUTHER FOREST BLVD. UNKNOWN CREEK",30 - County,2009,07/27/2016,N,7.00
atoga,Malta (Town),1.7 MI N JCT I87 & SH 67,EAST HIGH STREET 87I 87I15091145,NYSDOT,1962,05/31/2017,SD,4.14
atoga,Malta (Town),2 M W OF I87-EXIT 12,EASTLINE ROAD BALLSTON CREEK,30 - County,2001,04/26/2017,FO,7.00
atoga,Malta (Town),JCT I87 & MALTA AVE LT,MALTA AVE C.R.63 87I 87I15091158,NYSDOT,2010,05/26/2016,FO,6.78
atoga,Malta (Town),IN MALTA RIDGE,MALTA AVENUE 87I 87I15091158,NYSDOT,2010,05/26/2016,FO,6.69
atoga,Malta (Town),1.7 MI NE JCT I87 & US 9,NELSON AVE EXT KAYADEROSSERAS CK,30 - County,1962,06/17/2016,N,4.94
atoga,Malta (Town),.7 Mi. N I-87 Exit 11,ZIM SMITH TRAIL 915J 915J15011009,NYSDOT,2008,05/17/2016,N,6.45
atoga,Mechanicville (City),CITY OF MECHANICVILLE,44 15022011 ANTHONY KILL,42 - City,2014,09/15/2016,N,7.00
